folio,punto_folio,punto,genero,edad,p1,p2a,p2b,p2c,p3,p5h,p6a,distrito,seccion,hora_termino,estatus,instanceID,formdef_version,KEY
1,1,1,2,20,2,1,2,1,2,2,4,12,2563,1550,1,uuid:3c1fc322-2a6a-4f36-acac-f12c8491012d,1707211233,uuid:3c1fc322-2a6a-4f36-acac-f12c8491012d
1,1,1,1,19,2,2,2,2,2,2,3,666,2222,1601,5,uuid:89d0da5e-81f5-4219-a8f9-82bfb4efe955,1707211233,uuid:89d0da5e-81f5-4219-a8f9-82bfb4efe955
1,1,1,1,19,3,1,1,2,2,2,4,52,1234,1600,5,uuid:04aa4cda-104a-461a-aa0b-068b15bc9295,1707211233,uuid:04aa4cda-104a-461a-aa0b-068b15bc9295
1,1,1,2,47,3,1,1,1,2,2,5,20,2030,1541,5,uuid:1b0229f8-1663-4a4d-95bd-e48dafb0ca93,1707211233,uuid:1b0229f8-1663-4a4d-95bd-e48dafb0ca93
1,1,1,2,18,2,2,1,2,3,2,4,999,94,1559,5,uuid:a592e7ec-33c3-45e4-8b03-a6f4febee037,1707211233,uuid:a592e7ec-33c3-45e4-8b03-a6f4febee037
1,1,1,1,36,2,2,2,2,2,1,4,1,55558,1036,5,uuid:f15a6eab-6bd7-452a-a5ce-c18f33a80e0b,1707211233,uuid:f15a6eab-6bd7-452a-a5ce-c18f33a80e0b
91,10,10,1,56,5,2,2,2,5,2,5,8,4592,1331,1,uuid:b357b16b-a9f6-484b-8062-7e760cf87ed2,1707211615,uuid:b357b16b-a9f6-484b-8062-7e760cf87ed2
92,10,10,2,50,4,2,2,2,5,1,4,8,4592,1352,1,uuid:2b36caa7-d221-4b94-841c-370faad59d96,1707211615,uuid:2b36caa7-d221-4b94-841c-370faad59d96
93,10,10,2,57,5,2,2,2,5,2,4,8,4592,1416,1,uuid:8fe90acf-a25a-4816-9428-be615ad68188,1707211615,uuid:8fe90acf-a25a-4816-9428-be615ad68188
93,10,10,2,21,2,2,2,2,5,2,5,8,4592,1425,1,uuid:ae695aaa-6c1f-4bee-a09a-057ed09184e6,1707211615,uuid:ae695aaa-6c1f-4bee-a09a-057ed09184e6
95,10,10,2,45,2,2,2,2,4,2,,8,4592,1441,1,uuid:736db09e-ecb9-487a-a39f-fe707b732490,1707211615,uuid:736db09e-ecb9-487a-a39f-fe707b732490
96,10,10,2,58,4,2,2,2,4,2,4,8,4592,1521,1,uuid:15d23558-f4d8-4afa-ac40-6c322c906657,1707211615,uuid:15d23558-f4d8-4afa-ac40-6c322c906657
97,10,10,1,43,2,1,2,2,3,2,5,8,4592,1527,1,uuid:4e96986e-c08f-4319-91da-4c8c01e18296,1707211615,uuid:4e96986e-c08f-4319-91da-4c8c01e18296
98,10,10,1,65,5,2,2,2,5,2,5,8,4592,1600,1,uuid:723d775b-1077-4275-bd97-256fc506ecb2,1707211615,uuid:723d775b-1077-4275-bd97-256fc506ecb2
99,10,10,2,47,3,2,2,2,5,1,5,8,4592,1621,1,uuid:a48f3bdb-a79a-4f67-b78e-39ae2461fa77,1707211615,uuid:a48f3bdb-a79a-4f67-b78e-39ae2461fa77
100,10,10,1,52,2,2,2,2,4,2,4,8,4592,1652,1,uuid:a4b5744f-d194-4ca1-a0ed-083e04ab4a7c,1707211615,uuid:a4b5744f-d194-4ca1-a0ed-083e04ab4a7c
22,3,3,2,51,4,2,2,2,4,2,4,8,4591,1353,1,uuid:d55d0fe1-8489-45f3-9640-4760c1f4efc6,1707211615,uuid:d55d0fe1-8489-45f3-9640-4760c1f4efc6
24,3,3,2,19,2,2,1,2,4,99,4,8,4591,1434,1,uuid:078a24d5-908d-4c16-b1af-cb93913fed76,1707211615,uuid:078a24d5-908d-4c16-b1af-cb93913fed76
